X,Y,Z,Normalized Luminosity,Normalized Radius
207.72690,-593.33209,694.02297,0.00000,0.00375
615.87874,-1759.16384,2058.02527,0.00000,0.00101
767.76055,-2191.69312,2564.05056,0.00000,0.00077
473.63704,-1352.12099,1582.17595,0.00002,0.00312
335.15163,-956.86362,1119.55183,0.00000,0.00285
836.97527,-2389.06183,2795.66558,0.00000,0.00088
834.08940,-2379.83289,2784.61486,0.00000,0.00074
1491.83259,-4252.46473,4976.86588,0.00001,0.00031
165.65555,-472.77921,553.38012,0.00000,0.01316
537.35970,-1531.66575,1792.68256,0.00000,0.00085
1148.93304,-3274.17081,3834.57295,0.00000,0.00059
1728.62066,-4923.53384,5764.81467,0.00006,0.00032
714.93386,-2036.50298,2384.59116,0.00000,0.00131
410.68934,-1172.35394,1372.65899,0.00000,0.00434
945.24911,-2696.28141,3156.65115,0.00000,0.00083
3873.64284,-11052.01722,12942.50583,0.00000,0.00010
162.63328,-464.65043,544.16280,0.00000,0.02300
608.24864,-1735.60806,2032.43544,0.00000,0.00103
411.18376,-1173.26477,1373.84018,0.00000,0.00162
1708.82665,-4883.50438,5713.16194,0.00008,0.00052
517.46880,-1478.32335,1729.65637,0.00000,0.00133
244.06057,-697.63899,816.45461,0.00000,0.00470
583.79428,-1670.77606,1955.56260,0.00000,0.00114
5847.41671,-16712.51964,19566.62708,0.00000,0.00007
249.78731,-715.00328,837.22466,0.00001,0.00573
543.84636,-1553.46940,1818.70894,0.00000,0.00116
1290.89993,-3686.47208,4317.18603,0.00000,0.00024
580.97970,-1659.22876,1943.01916,0.00001,0.00076
239.94965,-685.69325,803.28157,0.00000,0.00905
379.21553,-1083.30054,1269.19143,0.00000,0.00195
853.62923,-2440.55423,2858.02500,0.00000,0.00066
345.42023,-987.72141,1156.94125,0.00000,0.00260
3361.08857,-9603.21045,11251.91514,0.00002,0.00010
419.62701,-1200.07747,1406.08891,0.00000,0.00155
690.98047,-1980.93372,2315.46923,0.00000,0.00075
285.40091,-818.54903,956.65666,0.00000,0.00490
1200.93877,-3442.01380,4020.89775,0.00000,0.00044
2326.78124,-6670.99806,7798.55802,0.00000,0.00021
399.75554,-1145.56101,1339.51953,0.00000,0.00351
558.31167,-1600.30406,1870.97898,0.00001,0.00088
138.79734,-398.04525,465.68743,0.00000,0.02347
262.94365,-753.96104,881.87676,0.00000,0.01066
2079.72104,-5968.99807,6978.28707,0.00000,0.00024
311.01470,-892.18666,1043.43570,0.00000,0.00252
1108.37249,-3178.93596,3718.02575,0.00015,0.00027
279.67522,-801.39787,937.63739,0.00002,0.00899
145.70667,-417.73367,488.71895,0.00000,0.01820
403.07323,-1155.14201,1350.99192,0.00001,0.00318
1179.97101,-3381.92376,3956.44366,0.00000,0.00042
427.98409,-1225.80601,1433.72050,0.00001,0.00170
243.00840,-696.40910,814.81902,0.00011,0.00947
326.95646,-938.17596,1097.77417,0.00000,0.00691
206.72654,-594.35725,695.34163,0.00000,0.01648
1555.74363,-4475.10911,5234.59330,0.00000,0.00035
166.09202,-477.48986,558.68926,0.00002,0.00640
851.27239,-2448.47846,2864.33308,0.00001,0.00080
711.05882,-2043.93174,2391.35212,0.00003,0.00092
844.31258,-2427.58425,2840.67465,0.00000,0.00093
210.84981,-605.22278,708.40367,0.00004,0.00782
