pl_name,hostname,ra,dec,sy_dist,X,Y,Z
Kepler-720 b,Kepler-720,298.6356478,44.1709388,1065.37,366.21054049531637,-670.6844524254622,742.3512929906474
Kepler-721 b,Kepler-721,284.4305132,44.4803776,926.598,164.7545641133206,-640.2609116222308,649.2347435685336
Kepler-722 b,Kepler-722,290.2632874,44.5564051,1239.5,305.88905305264785,-828.5567767181007,869.6469427170235
Kepler-722 c,Kepler-722,290.2632874,44.5564051,1239.5,305.88905305264785,-828.5567767181007,869.6469427170235
Kepler-723 b,Kepler-723,284.8304434,44.6580932,1071.8,195.1399081791979,-736.989114452943,753.3410259727534
Kepler-724 b,Kepler-724,293.4548441,44.7927823,853.119,240.97460928071192,-555.400266879504,601.06057048619
Kepler-725 b,Kepler-725,283.9774949,44.8115613,758.469,129.9681425872072,-522.1473824361453,534.5517906513018
Kepler-726 b,Kepler-726,291.7172776,44.8873466,762.081,199.78904907373612,-501.6073637213219,537.8120852972327
Kepler-727 b,Kepler-727,294.8469333,45.0344155,831.842,247.01098196204777,-533.4327468278999,588.5543240566553
Kepler-728 b,Kepler-728,291.0923621,45.1155087,1765.23,448.288478750508,-1162.2280243468526,1250.719957521414
Kepler-729 b,Kepler-729,286.3600604,45.4142664,1921.15,379.863960667923,-1293.9965994753777,1368.2446763762093
Kepler-730 b,Kepler-730,285.5547895,45.578842,1935.04,363.19205411989367,-1304.7818458996264,1382.0331645929973
Kepler-730 c,Kepler-730,285.5547895,45.578842,1935.04,363.19205411989367,-1304.7818458996264,1382.0331645929973
Kepler-731 b,Kepler-731,296.3931945,45.568533,1257.16,391.2217508948133,-788.3462088810306,897.7232659175671
Kepler-732 b,Kepler-732,283.7317274,45.9585288,174.826,28.849584915506792,-118.06159355623944,125.67136449153514
Kepler-732 c,Kepler-732,283.7317274,45.9585288,174.826,28.849584915506792,-118.06159355623944,125.67136449153514
Kepler-733 b,Kepler-733,293.0181882,45.9147063,916.706,249.38624312610486,-586.999016811161,658.4744083395934
Kepler-734 b,Kepler-734,297.0456122,46.0273893,1157.21,365.33645020040456,-715.6042559458735,832.8113898879627
Kepler-735 b,Kepler-735,284.6888328,46.1721391,695.059,122.04910285363255,-465.59320084354596,501.4319508187375
Kepler-736 b,Kepler-736,285.3913092,46.1809293,1005.43,184.76323168073748,-671.176312313064,725.447717557045
Kepler-737 b,Kepler-737,291.8629793,46.4291614,205.118,52.64741003528951,-131.20945735163244,148.61265909089389
Kepler-738 b,Kepler-738,287.5696516,46.5679011,1113.65,231.11632737108746,-729.9121728718422,808.7210802347163
Kepler-739 b,Kepler-739,290.067994,46.5791535,1370.65,323.2739763208182,-884.9190487664771,995.5368581142341
Kepler-74 b,Kepler-74,293.0925275,41.3555095,1177.55,346.6798411612172,-813.0733361367022,778.041670025434
Kepler-740 b,Kepler-740,286.4822566,46.692456,1442.02,280.6264265871667,-948.4574224268218,1049.3326483743783
Kepler-741 b,Kepler-741,289.4317294,46.6174978,1661.87,379.75190841581076,-1076.460903316005,1207.8213065626223
Kepler-742 b,Kepler-742,283.8659676,46.7896522,489.253,80.27870274276432,-325.21944685297336,356.5895950298955
Kepler-743 b,Kepler-743,295.57423,42.8064255,278.987,88.35620871087043,-184.6266910411119,189.57824639565303
Kepler-744 b,Kepler-744,296.4960493,47.1827848,449.964,136.4388205998485,-273.7011983767549,330.06015139130415
Kepler-745 b,Kepler-745,291.4994412,37.0592571,1780.38,520.699513233452,-1321.9105312928232,1072.9294052152604
Kepler-746 b,Kepler-746,290.6822097,37.3551593,,,,
Kepler-747 b,Kepler-747,288.4165196,41.0298175,3347.16,797.7016026377488,-2395.673098417757,2197.2488762692838
Kepler-748 b,Kepler-748,292.2628779,37.2369732,1705.99,514.5654288795147,-1256.9592275697594,1032.3167148357497
Kepler-749 b,Kepler-749,299.8973341,43.9040667,721.027,258.94408371455927,-450.3660534901945,499.9983140990525
Kepler-75 b,Kepler-75,291.1376203,36.5773443,835.356,241.9094460386303,-625.6994466822059,497.79480619514743
Kepler-750 b,Kepler-750,289.0968274,44.004364,1296.02,304.9870835152333,-880.9078975397869,900.3621467725665
Kepler-750 c,Kepler-750,289.0968274,44.004364,1296.02,304.9870835152333,-880.9078975397869,900.3621467725665
Kepler-751 b,Kepler-751,294.8438103,44.0776872,760.43,229.52194665683177,-495.73515121113786,528.9802649972196
Kepler-752 b,Kepler-752,292.2681469,37.955672,1232.29,368.1966345703916,-899.1797166219966,757.9219746165322
Kepler-753 b,Kepler-753,291.9032411,37.9023677,274.767,80.87785011252855,-201.15709052925516,168.79426109906822
Kepler-754 b,Kepler-754,293.2541121,37.8461519,1770.27,551.9098582650143,-1284.3508279462706,1086.1373449079176
Kepler-755 b,Kepler-755,296.8609348,41.0973178,399.034,135.86862729042457,-268.2648621879002,262.30099692819056
Kepler-755 c,Kepler-755,296.8609348,41.0973178,399.034,135.86862729042457,-268.2648621879002,262.30099692819056
Kepler-756 b,Kepler-756,290.6079736,41.201094,,,,
Kepler-757 b,Kepler-757,296.6804876,41.3865279,1068.68,360.017698515536,-716.4232268796911,706.5422557376644
Kepler-758 b,Kepler-758,293.0846115,41.1354049,1502.32,443.6431855689978,-1040.8814654609307,988.2873474643379
Kepler-758 c,Kepler-758,293.0846115,41.1354049,1502.32,443.6431855689978,-1040.8814654609307,988.2873474643379
Kepler-758 d,Kepler-758,293.0846115,41.1354049,1502.32,443.6431855689978,-1040.8814654609307,988.2873474643379
Kepler-758 e,Kepler-758,293.0846115,41.1354049,1502.32,443.6431855689978,-1040.8814654609307,988.2873474643379
Kepler-759 b,Kepler-759,290.1314231,41.3814345,1073.48,277.21866600793527,-756.2501994215961,709.6441062191506
Kepler-76 b,Kepler-76,294.1921185,39.6189727,822.96,259.7820814955497,-578.2540738350119,524.7843917525104
Kepler-760 b,Kepler-760,287.5931997,44.1794278,792.336,171.7520772275296,-541.6541935865052,552.1850192047784
Kepler-760 c,Kepler-760,287.5931997,44.1794278,792.336,171.7520772275296,-541.6541935865052,552.1850192047784
Kepler-761 b,Kepler-761,290.503599,44.1436249,830.707,208.79796719593955,-558.3486102161648,578.5536779016453
Kepler-762 b,Kepler-762,291.2756631,47.3295107,1898.26,466.8515197406949,-1198.916688871755,1395.7218416506173
Kepler-763 b,Kepler-763,292.1445534,47.1573604,962.459,246.6950867071585,-606.1840585774866,705.6980572469176
Kepler-763 c,Kepler-763,292.1445534,47.1573604,962.459,246.6950867071585,-606.1840585774866,705.6980572469176
Kepler-763 d,Kepler-763,292.1445534,47.1573604,962.459,246.6950867071585,-606.1840585774866,705.6980572469176
Kepler-764 b,Kepler-764,297.3931183,47.1645814,1047.84,327.7799786414046,-632.5376179714283,768.3912499845841
Kepler-765 b,Kepler-765,283.1846044,47.1557114,1076.28,166.9338040627785,-712.5871189284856,789.1332849388183
Kepler-766 b,Kepler-766,293.1845144,37.9698357,2297.62,713.0945260942418,-1665.016871954853,1413.60272968048
Kepler-767 b,Kepler-767,291.5791562,38.0358066,2251.03,652.0738274059449,-1648.7025956191446,1386.9807265102347
Kepler-768 b,Kepler-768,294.1156858,38.3934378,784.56,251.24028619779702,-561.2424221901455,487.2572787813307
Kepler-769 b,Kepler-769,292.7130925,38.3581685,1169.57,354.1133557375291,-845.9921730946769,725.8064199570381
Kepler-769 c,Kepler-769,292.7130925,38.3581685,1169.57,354.1133557375291,-845.9921730946769,725.8064199570381
Kepler-77 b,Kepler-77,289.6079433,44.3454347,639.411,153.4508320853785,-430.75102027528123,446.93716290448384
Kepler-770 b,Kepler-770,286.4904589,38.374872,930.457,207.05751789174928,-699.4421539855707,577.6314450941302
Kepler-770 c,Kepler-770,286.4904589,38.374872,930.457,207.05751789174928,-699.4421539855707,577.6314450941302
Kepler-770 d,Kepler-770,286.4904589,38.374872,930.457,207.05751789174928,-699.4421539855707,577.6314450941302
Kepler-771 b,Kepler-771,287.4441104,38.0884183,1393.85,328.86650763239084,-1046.589996861896,859.8337171373839
Kepler-772 b,Kepler-772,291.423582,38.2165603,1130.21,324.3440033140761,-826.6267000400509,699.1880365074151
Kepler-773 b,Kepler-773,290.8846217,38.0575539,547.026,153.547559355364,-402.42537765317286,337.21566854568334
Kepler-774 b,Kepler-774,291.0318604,38.211894,917.804,258.80950095802433,-673.1028219800111,567.7274131767849
Kepler-775 b,Kepler-775,291.4332781,41.7033162,398.676,108.7670182196853,-277.0669158029644,265.22860496377774
Kepler-776 b,Kepler-776,287.2726117,41.6356009,727.904,161.5310094748217,-519.4908574582527,483.6126706480451
Kepler-777 b,Kepler-777,282.7241098,44.3465098,443.106,69.79415132765985,-309.09455839566124,309.72932965194445
Kepler-778 b,Kepler-778,287.4774867,44.2374702,938.168,201.86891635843057,-641.1247080503538,654.497704777963
Kepler-779 b,Kepler-779,285.6285208,44.3107855,283.155,54.58425689208016,-195.1237915933978,197.79792435401245
Kepler-78 b,Kepler-78,293.7419543,44.4482521,124.376,35.74844046448373,-81.27546911271776,87.09613367345834
Kepler-780 b,Kepler-780,281.7663511,44.2924898,557.652,81.39686424744545,-390.7711404853357,389.42036330740723
Kepler-781 b,Kepler-781,287.6535874,47.4147762,1064.47,218.44274141746618,-686.3907353750702,783.7390560724228
Kepler-782 b,Kepler-782,288.868246,47.75947,446.844,97.14351700140392,-284.24694928410725,330.81168247701913
Kepler-783 b,Kepler-783,291.0628615,47.484789,516.09,125.34383836499022,-325.4641179126001,380.4088829605643
Kepler-783 c,Kepler-783,291.0628615,47.484789,516.09,125.34383836499022,-325.4641179126001,380.4088829605643
Kepler-784 b,Kepler-784,295.9206663,47.4486164,1303.72,385.3888972050361,-792.949080668774,960.4129277439118
Kepler-784 c,Kepler-784,295.9206663,47.4486164,1303.72,385.3888972050361,-792.949080668774,960.4129277439118
Kepler-785 b,Kepler-785,292.0683108,38.8422004,642.051,187.88528603827558,-463.4408187597487,402.68003849037405
